Smiles	Is_Nature_Product	Np Likeness Score
C=C1[C@@]2(C)C[C@H]3C(C)=C4CC(=O)OC(C)(C)C4=CC[C@]3(C)[C@]1(C(=O)OC)C(=O)[C@@](C)(O)C2=O	1	2.67
CSCC[C@H](NC(=O)N1CCn2c1nc1ccccc12)C(=O)NCc1ccc(F)cc1	0	-1.78
Cn1ccc2cc(N(Cc3ccccc3)C3CCNCC3)ccc21	0	-0.92
COc1ccc(Cn2c(O)nc3cc(C(=O)Nc4ccc(N5CCN(C)CC5)cc4)ccc32)cc1	0	-1.58
COc1ccc(N(C)c2nc(C)nc3ccc(N(C)C)cc23)cc1	0	-1.04
O=S(=O)(c1ccccc1)n1ccc2c(N3CCN(CCNCc4ccccc4)CC3)cccc21	0	-1.44
CCOc1nccnc1Nc1cccc(C)n1	0	-1.85
C=C(C)C(CCC(=O)OC)C(=O)O	1	1.37
C/C=C/C=C\C(=O)O[C@H]1[C@H](O)[C@H](OCC23C[C@@H]4[C@H](C)CC[C@H]4C4(C=O)CC2C=C(C(C)C)C34C(=O)O)O[C@H](C)[C@H]1OC	0	2.61
COc1cc(O)c2c(c1O)[C@H](O)[C@@H]1C[C@](C)(O)OC[C@@H]1C2=O	1	2.71
CCCNC(=O)c1ccc(C(=C2CC3CCC(C2)N3CCc2ccccc2)c2ccccc2)cc1	0	-0.55
CC(C)CC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCN	1	0.1
O=C(COC(=O)c1cccnc1Cl)NCc1ccco1	0	-2.07
COc1cccc2c1CN(CCn1ncc3c1nc(N)n1nc(-c4ccco4)nc31)C2	0	-1.88
COc1cccc(OC)c1C1CCCC(=O)N1Cc1ccc2ccccc2c1	0	-0.41
CNc1ccc(-c2nc3ccccc3c(=O)[nH]2)cc1	1	-0.88
C/C=C/C=C/C=C/C(=O)N[C@H]1CCCNC(=O)[C@H](C)NC(=O)[C@H](C(C)C)N(C)C1=O	1	1.21
Cc1cc(O)c2c(c1)C(=O)C1=C(C2=O)[C@@H](O)[C@@H](O)[C@@H](O)C1	1	2.02
CN1C[C@@H](C(=O)NCc2ccc(Cl)cc2Cl)N(CC(F)F)C1=O	0	-1.6
Cc1cccc(N/N=C2\C(=O)Oc3ccc4ccccc4c3C2=O)c1C	0	-0.46
C=C1C[C@@H]2[C@](C)(C(=O)C(O)=C3C(C)(C)C(=O)CC[C@]32C)[C@H]2C(=O)O[C@](C)(C(=O)OC)C(=O)[C@]12C	1	2.57
CC(=O)O[C@@H]1CC[C@@H]2C[C@H](C(N)=O)N(C(=O)[C@@H](Cc3ccc(O)cc3)NC(=O)[C@@H](O)Cc3ccc(O)cc3)[C@@H]2C1	1	1.04
C=C[C@]1(C)C=C2C(=O)C(O)=C3[C@](C)(COC(C)=O)[C@H](OC(C)=O)C[C@H]4C[C@@]34[C@@]2(O)CC1	1	2.88
O=C(Oc1ccc2c(c1)OCO2)C12CC3CC(CC(C3)C1)C2	0	-0.13
O=c1cc(/C=C/c2ccc(O)cc2)oc2cc(O)cc(O)c12	0	1.29
Cc1cc2c(o1)CC(C)(C)CC2NC(=O)CNC(=O)C1CC1	0	-0.9
Cc1ccn2c(C(=O)NCCOc3ccccc3C)c(C)nc2c1	0	-1.86
C[C@@H]1COC(=O)[C@H](Cc2ccc(F)cc2)CC/C=C\C[C@@H](CC(=O)NCCO)C(=O)N1	0	0.41
COc1ccc(NCN2C(=O)c3ccccc3C2=O)cc1	0	-0.95
Nc1cccc(-c2cc(O)c3ccc4[nH]ccc4c3n2)c1	0	-0.35
CC(C)C[C@@H]1NC(=O)[C@@H](CC(C)C)OC(=O)CCNC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](CC(C)C)OC1=O	1	1.35
CC(C)[C@@H](NS(=O)(=O)c1ccc(-c2ccc(OC(=O)Nc3ccccc3)cc2)cc1)C(=O)O	0	-0.92
C[C@H]1C[C@@H](O)[C@@H]2O[C@@H]2[C@H]1O	1	3.08
c1cc(-c2cnc3c(c2)C[C@@]2(CN4CCC2CC4)O3)co1	0	0.76
CC1(O)C(=O)C=Cc2c1ccc(O)c2CO	1	2.41
O=C(CCCN1CC[C@H]2[C@@H](C1)c1cccc3c1N2CC3)c1ccc(F)cc1	0	-0.8
C=C1CC[C@H](Cl)C(C)(C)[C@@H]1C[C@@]12OC(C)(C)[C@H](Cl)C[C@]1(Cl)C(=O)C1=C(C2=O)C(=[N+]=[N-])C(=O)C=C1O	1	2.94
